TIPO_ID;ID;COD_CIIU;SECTOR_CIIU;MACROSECTOR;COLOR_SECTOR;OFICINA_ASIGNACION;UBICACION;FECHA_REVISION_PC;FAMILIA;SINO_ROTATIVA;MONEDA; FAMILIA_APROBADO ; FAMILIA_UTILIZADO ; DISPONIBLE ; SALDO_CAPITAL ; VENTAS 2020 ; VENTAS 2021 ;NIVEL DE CONFIANZA;CALIFICACIÓN_DE RIESG;CLAS_EMPRESA
N;1;2029;QUIMICOS Y AGROQUIMICOS (PRODUCCION Y COMERCIALIZACION);INDUSTRIA;Verde;1661;Bogota, D.C.;28/02/2017;CAMPAÑA_COMERCIA;SI;COP; $ 12.902.350 ; $ - ; $ 12.902.350 ;; $ 24.026.968 ; $ 25.228.316 ;BAJO;1,09;CORPORATIVO
N;2;4731;COMBUSTIBLES LUBRICANTES (PRODUCCION Y COMERCIALIZACION);COMERCIO;Verde;1154;Bogota, D.C.;31/12/2017;CAMPAÑA_COMERCIA;SI;COP; $ 1.970.000.000 ; $ - ; $ 1.970.000.000 ;; $ 1.632.289.058 ; $ 2.648.045.155 ;ALTO;4,20;CORPORATIVO
N;3;2395;CEMENTO Y CONCRETO;INDUSTRIA;Verde;1301;Bogota, D.C.;31/07/2018;CAPITAL_TRABAJO;SI;COP; $ 70.000.000 ; $ - ; $ 70.000.000 ;; $ 30.303.000 ; $ 127.691.141 ;ALTO;5,34;CORPORATIVO
N;4;8610;SERVICIOS DE SALUD;SERVICIOS;Verde;1831;Bogota, D.C.;31/08/2018;CAPITAL_TRABAJO;SI;COP; $ 600.000.000 ; $ - ; $ 600.000.000 ;; $ 70.372.283 ; $ 121.244.838 ;ALTO;5,26;CORPORATIVO
N;5;9602;OTROS SERVICIOS;SERVICIOS;Naranja2;1509;Medellin;31/10/2018;CAPITAL_TRABAJO;SI;COP; $ 15.000.000 ; $ 15.000.000 ; $ - ; $ 1.578.155 ; $ 83.626.270 ; $ 75.745.000 ;ALTO;4,49;CORPORATIVO
C;6;1011;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1318;Bogota, D.C.;31/12/2017;CAMPAÑA_COMERCIA;SI;COP; $ 100.000 ; $ - ; $ 100.000 ;; $ 75.515.520 ; $ 6.214.330 ;MEDIO;1,38;CORPORATIVO
C;7;5613;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;885;Anapoima;31/10/2018;CAPITAL_TRABAJO;SI;COP; $ 1.000.000 ; $ - ; $ 1.000.000 ;; $ 1.512.500 ; $ 1.588.125 ;BAJO;0,50;CORPORATIVO
N;8;9499;OTRAS ORGANIZACIONES;OTROS;Naranja2;1322;Bogota, D.C.;31/12/2018;CAPITAL_TRABAJO;SI;COP; $ 156.000.000 ; $ 36.000.000 ; $ 120.000.000 ; $ 427.090 ; $ 6.806.000 ; $ 7.146.300 ;BAJO;0,13;CORPORATIVO
C;9;4663;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;516;Los patios;30/04/2019;CAPITAL_TRABAJO;SI;COP; $ 5.000.000 ; $ 23.000.000 ;-$ 18.000.000 ; $ 11.867.170 ; $ 148.904.541 ; $ 324.768.969 ;ALTO;5,50;CORPORATIVO
C;10;10;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;218;Pereira;30/11/2018;CAPITAL_TRABAJO;SI;COP; $ 2.000.000 ; $ 20.150.000 ;-$ 18.150.000 ; $ 17.668.406 ; $ 12.528.000 ; $ 38.884.900 ;ALTO;5,56;CORPORATIVO
C;11;4773;COMERCIO PRODUCTOS FARMACEUTICOS;COMERCIO;Verde;821;Arbelaez;31/10/2018;OP.PLAZO;SI;COP; $ 6.400.000 ; $ - ; $ - ;; $ 4.420.050 ; $ 8.344.400 ;ALTO;5,38;CORPORATIVO
N;12;4773;COMERCIO PRODUCTOS FARMACEUTICOS;COMERCIO;Verde;2024;Bogota, D.C.;30/11/2018;OP.PLAZO;NO;COP; $ 250.000.000 ; $ 250.000.000 ; $ - ;; $ 3.605.533.022 ; $ 561.915.506 ;MEDIO;2,57;CORPORATIVO
N;13;9522;SERVICIOS DE REPARACION Y MANTENIMIENTO;SERVICIOS;Amarillo;1321;Bogota, D.C.;31/12/2018;OP.PLAZO;NO;COP; $ 80.000.000 ; $ 80.000.000 ; $ - ;; $ - ; $ 9.017.856 ;MEDIO;1,88;CORPORATIVO
C;14;4774;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1622;Medellin;31/01/2019;OP.PLAZO;NO;COP; $ 200.000.000 ; $ 440.260.480 ;-$ 240.260.480 ;; $ 110.068.500 ; $ 282.798.495 ;ALTO;5,05;CORPORATIVO
C;15;5511;OBRAS CIVILES (CONSULTORIA Y CONSTRUCCION);OTROS;Naranja2;829;Monteria;28/02/2019;CAMPAÑA_COMERCIA;NO;COP; $ 19.482.533 ; $ 19.482.533 ; $ - ;; $ 4.841.980 ; $ 5.084.079 ;BAJO;0,18;CORPORATIVO
C;17;10;OTROS SERVICIOS;OTROS;Naranja2;1028;Cali;28/02/2019;OP.PLAZO;NO;COP; $ 280.250.000 ; $ 419.798.300 ; $ - ; $ 181.498.357 ; $ 78.283.455 ; $ 82.197.628 ;BAJO;0,87;CORPORATIVO
C;18;10;OTROS SERVICIOS;OTROS;Naranja2;1028;Cali;28/02/2019;OP.PLAZO;NO;COP; $ 100.000.000 ; $ - ; $ - ;; $ 78.283.455 ; $ 82.197.628 ;BAJO;0,87;CORPORATIVO
C;19;1811;ENTRETENIMIENTO;OTROS;Rojo;1567;Bogota, D.C.;30/04/2019;CAMPAÑA_COMERCIA;SI;COP; $ 120.315.000 ; $ 82.715.000 ; $ 37.600.000 ; $ 64.009.722 ; $ 132.442.529 ; $ 295.116.730 ;ALTO;4,54;CORPORATIVO
N;20;4663;COMERCIO DE MATERIALES DE CONSTRUCCION;COMERCIO;Verde;2028;Ibague;28/02/2019;CAMPAÑA_COMERCIA;NO;COP; $ 252.126.900 ; $ - ; $ 252.126.900 ;; $ 1.260.963.579 ; $ 2.469.016.586 ;ALTO;5,49;CORPORATIVO
N;21;5511;HOTELERIA;INDUSTRIA;Rojo;282;Nobsa;28/02/2019;OP.PLAZO;NO;COP; $ 17.600.000 ; $ 16.785.830 ; $ 814.170 ;; $ 44.644.567 ; $ 126.978.366 ;ALTO;4,47;CORPORATIVO
C;23;1081;HOTELERIA;INDUSTRIA;Rojo;616;Tunja;31/03/2019;OP.PLAZO;NO;COP; $ 14.000.000 ; $ 14.000.000 ; $ - ;; $ - ; $ 7.772.500 ;BAJO;1,77;CORPORATIVO
C;24;4530;AUTOPARTES (PRODUCCION Y COMERCIALIZACION);OTROS;Amarillo;204;Bogota, D.C.;31/03/2019;CAPITAL_TRABAJO;SI;COP; $ 1.700.000 ; $ 1.586.768 ; $ 113.232 ; $ 1.586.768 ; $ 16.214.563 ; $ 17.025.291 ;BAJO;1,09;CORPORATIVO
C;25;4711;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;526;Alcala;28/02/2019;CAMPAÑA_COMERCIA;SI;COP; $ 13.549.921 ; $ - ; $ 13.549.921 ;; $ 81.407.550 ; $ 90.782.364 ;ALTO;5,53;CORPORATIVO
